Timestamp,timer.externalize_c,timer.externalize_libel,timer.finalize_c,timer.finalize_libel,timer.processnoise_c,timer.processnoise_libel,timer.stateinbounds_c,timer.stateinbounds_libel
73009,6,28,153,285,10,32,1,4
73029,5,8,221,219,10,34,6,4
73049,6,8,149,219,10,34,1,4
73069,6,8,10,219,10,34,1,4
73089,6,8,173,219,10,34,6,4
73109,6,8,179,219,10,34,1,4
73129,6,8,11,219,10,34,1,4
73149,5,8,154,219,10,34,1,4
73169,6,8,183,219,10,34,1,4
73189,6,8,160,219,11,34,1,4
73209,6,8,174,219,10,34,1,4
73229,5,8,238,219,11,34,1,4
73249,5,8,10,219,47,34,1,4
73269,6,8,156,219,10,34,1,4
73289,5,8,200,219,10,34,1,4
73309,6,8,210,219,11,34,1,4
73329,6,8,195,219,10,34,1,4
73349,6,8,211,219,10,34,1,4
73369,6,8,205,219,10,34,1,4
73389,6,8,221,219,10,34,1,4
73409,6,8,208,219,10,34,1,4
73429,5,8,261,219,10,34,1,4
73449,6,8,10,219,10,34,1,4
73469,6,8,10,219,11,34,1,4
73489,6,9,208,249,10,32,1,9
73509,5,10,184,223,11,211,1,5
73529,5,9,210,293,10,209,1,4
73549,6,9,182,293,10,209,1,4
73569,6,9,206,293,10,209,1,4
73589,6,9,213,293,10,209,1,4
73609,6,9,176,293,10,209,1,4
73629,6,9,178,293,10,209,1,4
73649,5,9,217,293,10,209,1,4
73669,6,9,179,293,10,209,1,4
73689,6,9,179,293,10,209,1,4
73709,6,9,10,293,10,209,1,4
73729,6,9,179,293,10,209,1,4
73749,6,9,185,293,10,209,1,4
73769,6,9,146,293,10,209,1,4
73789,6,9,184,293,11,209,1,4
73809,6,9,10,293,11,209,1,4
73829,6,9,190,293,11,209,1,4
73849,5,9,183,293,10,209,1,4
73869,5,9,224,293,10,209,1,4
73889,5,9,147,293,10,209,1,4
73909,6,9,178,293,10,209,1,4
73929,6,9,180,293,10,209,1,4
73949,6,9,227,293,10,209,1,4
73969,6,9,184,293,10,32,1,4
73989,5,9,179,370,10,32,1,4
74009,6,9,217,375,11,33,1,4
74029,6,9,208,33,12,34,1,4
74049,6,9,184,33,12,34,1,4
74069,6,9,184,33,11,34,1,4
74089,6,9,184,33,11,34,1,4
74109,6,9,183,33,12,34,1,4
74129,6,9,185,33,11,34,1,4
74149,6,9,146,33,10,34,2,4
74169,6,9,189,33,10,34,1,4
74189,6,9,15,33,10,34,1,4
74209,5,9,201,33,10,34,1,4
74229,6,9,177,33,11,34,1,4
74249,5,9,196,33,11,34,1,4
74269,6,9,176,33,10,34,1,4
74289,6,9,216,33,10,34,1,4
74309,6,9,209,33,10,34,2,4
74329,6,9,209,33,10,34,2,4
74349,6,9,198,33,10,34,1,4
74369,6,9,209,33,10,34,1,4
74389,5,9,202,33,10,34,1,4
74409,6,9,179,33,10,34,1,4
74429,6,9,188,33,10,34,1,4
74449,5,9,190,33,10,34,1,4
74469,6,9,169,33,10,34,4,4
